"Country","Year","Value","Fuel"
"C2",1960,0,"NRES"
"C2",1961,0,"NRES"
"C2",1962,0,"NRES"
"C2",1963,0,"NRES"
"C2",1964,0,"NRES"
"C2",1965,0,"NRES"
"C2",1966,0,"NRES"
"C2",1967,0,"NRES"
"C2",1968,0,"NRES"
"C2",1969,0,"NRES"
"C2",1970,1984.32,"NRES"
"C2",1971,2159.04,"NRES"
"C2",1972,2197.26,"NRES"
"C2",1973,2271.36,"NRES"
"C2",1974,815.88,"NRES"
"C2",1975,860.34,"NRES"
"C2",1976,975.78,"NRES"
"C2",1977,952.38,"NRES"
"C2",1978,986.7,"NRES"
"C2",1979,1031.16,"NRES"
"C2",1980,2224.56,"NRES"
"C2",1981,2288.52,"NRES"
"C2",1982,2063.1,"NRES"
"C2",1983,1925.82,"NRES"
"C2",1984,2063.1,"NRES"
"C2",1985,2208.96,"NRES"
"C2",1986,2028,"NRES"
"C2",1987,1799.46,"NRES"
"C2",1988,1853.28,"NRES"
"C2",1989,1981.2,"NRES"
"C2",1990,1300.26,"NRES"
"C2",1991,1628.64,"NRES"
"C2",1992,1823.64,"NRES"
"C2",1993,2060.76,"NRES"
"C2",1994,2732.34,"NRES"
"C2",1995,3238.56,"NRES"
"C2",1996,3583.32,"NRES"
"C2",1997,4449.9,"NRES"
"C2",1998,5995.08,"NRES"
"C2",1999,7074.6,"NRES"
"C2",2000,10719.54,"NRES"
"C2",2001,11826.36,"NRES"
"C2",2002,16655.34,"NRES"
"C2",2003,22112.22,"NRES"
"C2",2004,29024.58,"NRES"
"C2",2005,34135.92,"NRES"
"C2",2006,40934.4,"NRES"
"C2",2007,53195.22,"NRES"
"C2",2008,57595.2,"NRES"
"C2",2009,59988.24,"NRES"
"C2",2010,65697.06,"NRES"
"C2",2011,82965.48,"NRES"
"C2",2012,94604.64,"NRES"
"C2",2013,100885.98,"NRES"
"C2",2014,111492.42,"NRES"
"C2",2015,132451.02,"NRES"
"C2",2016,131918.28,"NRES"
"C2",2017,153014.94,"NRES"
"C2",2018,161298.54,"NRES"
"C2",2019,174826.08,"NRES"
"C1",1960,0,"NRES"
"C1",1961,0,"NRES"
"C1",1962,0,"NRES"
"C1",1963,0,"NRES"
"C1",1964,0,"NRES"
"C1",1965,0,"NRES"
"C1",1966,0,"NRES"
"C1",1967,0,"NRES"
"C1",1968,0,"NRES"
"C1",1969,0,"NRES"
"C1",1970,0,"NRES"
"C1",1971,0,"NRES"
"C1",1972,0,"NRES"
"C1",1973,0,"NRES"
"C1",1974,0,"NRES"
"C1",1975,0,"NRES"
"C1",1976,0,"NRES"
"C1",1977,0,"NRES"
"C1",1978,3.99,"NRES"
"C1",1979,7.98,"NRES"
"C1",1980,14.63,"NRES"
"C1",1981,14.63,"NRES"
"C1",1982,25.27,"NRES"
"C1",1983,79.8,"NRES"
"C1",1984,87.78,"NRES"
"C1",1985,115.71,"NRES"
"C1",1986,235.41,"NRES"
"C1",1987,312.55,"NRES"
"C1",1988,494.76,"NRES"
"C1",1989,736.82,"NRES"
"C1",1990,1060.01,"NRES"
"C1",1991,1372.56,"NRES"
"C1",1992,1760.92,"NRES"
"C1",1993,2100.07,"NRES"
"C1",1994,2274.3,"NRES"
"C1",1995,2423.26,"NRES"
"C1",1996,2739.8,"NRES"
"C1",1997,3870.3,"NRES"
"C1",1998,5184.34,"NRES"
"C1",1999,5782.84,"NRES"
"C1",2000,7370.86,"NRES"
"C1",2001,7737.94,"NRES"
"C1",2002,8986.81,"NRES"
"C1",2003,10715.81,"NRES"
"C1",2004,12624.36,"NRES"
"C1",2005,13019.37,"NRES"
"C1",2006,12206.74,"NRES"
"C1",2007,13668.41,"NRES"
"C1",2008,13393.1,"NRES"
"C1",2009,13359.85,"NRES"
"C1",2010,16502.79162,"NRES"
"C1",2011,18837.85533,"NRES"
"C1",2012,19710.35129,"NRES"
"C1",2013,21218.86788,"NRES"
"C1",2014,23898.86975,"NRES"
"C1",2015,25162.29793,"NRES"
"C1",2016,24433.10149,"NRES"
"C1",2017,28987.53088,"NRES"
"C1",2018,27598.62651,"NRES"
"C1",2019,30793.13622,"NRES"
"C2",1960,80148.12,"Coal"
"C2",1961,85460.7,"Coal"
"C2",1962,93054.78,"Coal"
"C2",1963,99819.72,"Coal"
"C2",1964,107734.38,"Coal"
"C2",1965,107225.82,"Coal"
"C2",1966,105910.74,"Coal"
"C2",1967,110307.6,"Coal"
"C2",1968,120216.72,"Coal"
"C2",1969,130897.26,"Coal"
"C2",1970,179339.16,"Coal"
"C2",1971,191413.56,"Coal"
"C2",1972,195271.44,"Coal"
"C2",1973,201486.48,"Coal"
"C2",1974,204742.98,"Coal"
"C2",1975,189406.62,"Coal"
"C2",1976,217220.64,"Coal"
"C2",1977,211533.66,"Coal"
"C2",1978,218896.86,"Coal"
"C2",1979,225909.84,"Coal"
"C2",1980,228940.92,"Coal"
"C2",1981,237566.16,"Coal"
"C2",1982,241737.6,"Coal"
"C2",1983,251645.16,"Coal"
"C2",1984,256407.84,"Coal"
"C2",1985,251489.16,"Coal"
"C2",1986,253414.98,"Coal"
"C2",1987,247758.42,"Coal"
"C2",1988,250186.56,"Coal"
"C2",1989,252432.96,"Coal"
"C2",1990,250879.98,"Coal"
"C2",1991,247197.6,"Coal"
"C2",1992,237788.46,"Coal"
"C2",1993,233840.1,"Coal"
"C2",1994,231572.64,"Coal"
"C2",1995,231164.7,"Coal"
"C2",1996,236077.14,"Coal"
"C2",1997,228080.58,"Coal"
"C2",1998,233177.1,"Coal"
"C2",1999,224778.06,"Coal"
"C2",2000,237246.36,"Coal"
"C2",2001,235284.66,"Coal"
"C2",2002,239142.54,"Coal"
"C2",2003,245352.9,"Coal"
"C2",2004,240538.74,"Coal"
"C2",2005,232247.34,"Coal"
"C2",2006,232766.82,"Coal"
"C2",2007,240466.98,"Coal"
"C2",2008,222642.42,"Coal"
"C2",2009,202997.34,"Coal"
"C2",2010,213296.46,"Coal"
"C2",2011,212457.18,"Coal"
"C2",2012,223168.14,"Coal"
"C2",2013,233227.8,"Coal"
"C2",2014,222229.8,"Coal"
"C2",2015,221293.8,"Coal"
"C2",2016,213092.88,"Coal"
"C2",2017,197201.94,"Coal"
"C2",2018,186399.72,"Coal"
"C2",2019,144686.1,"Coal"
"C1",1960,5277.44,"Coal"
"C1",1961,4939.62,"Coal"
"C1",1962,5939.78,"Coal"
"C1",1963,6776.35,"Coal"
"C1",1964,6753.74,"Coal"
"C1",1965,6716.5,"Coal"
"C1",1966,6809.6,"Coal"
"C1",1967,8287.23,"Coal"
"C1",1968,9420.39,"Coal"
"C1",1969,9073.26,"Coal"
"C1",1970,8311.17,"Coal"
"C1",1971,4605.79,"Coal"
"C1",1972,5131.14,"Coal"
"C1",1973,9103.85,"Coal"
"C1",1974,7510.51,"Coal"
"C1",1975,8489.39,"Coal"
"C1",1976,12677.56,"Coal"
"C1",1977,14090.02,"Coal"
"C1",1978,15042.3,"Coal"
"C1",1979,18561.48,"Coal"
"C1",1980,29133.65,"Coal"
"C1",1981,22603.35,"Coal"
"C1",1982,28858.34,"Coal"
"C1",1983,28017.78,"Coal"
"C1",1984,28896.91,"Coal"
"C1",1985,36266.44,"Coal"
"C1",1986,37877.07,"Coal"
"C1",1987,36799.77,"Coal"
"C1",1988,34005.44,"Coal"
"C1",1989,27171.9,"Coal"
"C1",1990,31332.14,"Coal"
"C1",1991,44481.85,"Coal"
"C1",1992,35852.81,"Coal"
"C1",1993,39004.91,"Coal"
"C1",1994,44275.7,"Coal"
"C1",1995,36383.48,"Coal"
"C1",1996,52754.45,"Coal"
"C1",1997,38245.48,"Coal"
"C1",1998,31458.49,"Coal"
"C1",1999,26707.73,"Coal"
"C1",2000,22175.09,"Coal"
"C1",2001,23699.27,"Coal"
"C1",2002,24281.81,"Coal"
"C1",2003,33658.31,"Coal"
"C1",2004,24835.09,"Coal"
"C1",2005,20565.79,"Coal"
"C1",2006,32672.78,"Coal"
"C1",2007,26455.03,"Coal"
"C1",2008,23224.46,"Coal"
"C1",2009,23523.71,"Coal"
"C1",2010,22617.98,"Coal"
"C1",2011,18588.08,"Coal"
"C1",2012,14016.87,"Coal"
"C1",2013,19008.36,"Coal"
"C1",2014,14715.12,"Coal"
"C1",2015,9456.13774,"Coal"
"C1",2016,11790.76255,"Coal"
"C1",2017,8257.36884,"Coal"
"C1",2018,8738.65594,"Coal"
"C1",2019,4317.20394,"Coal"
"C2",1960,64.74,"Gas"
"C2",1961,118.56,"Gas"
"C2",1962,145.86,"Gas"
"C2",1963,507.78,"Gas"
"C2",1964,1237.08,"Gas"
"C2",1965,1943.76,"Gas"
"C2",1966,2391.48,"Gas"
"C2",1967,2947.62,"Gas"
"C2",1968,5057.52,"Gas"
"C2",1969,7463.04,"Gas"
"C2",1970,11378.64,"Gas"
"C2",1971,16575,"Gas"
"C2",1972,21651.24,"Gas"
"C2",1973,31942.56,"Gas"
"C2",1974,47337.42,"Gas"
"C2",1975,50686.74,"Gas"
"C2",1976,46824.96,"Gas"
"C2",1977,48218.82,"Gas"
"C2",1978,53242.8,"Gas"
"C2",1979,57830.76,"Gas"
"C2",1980,51472.2,"Gas"
"C2",1981,40454.7,"Gas"
"C2",1982,32238.18,"Gas"
"C2",1983,31497.96,"Gas"
"C2",1984,29635.32,"Gas"
"C2",1985,21828.3,"Gas"
"C2",1986,23252.58,"Gas"
"C2",1987,25705.68,"Gas"
"C2",1988,25849.98,"Gas"
"C2",1989,30088.5,"Gas"
"C2",1990,31558.8,"Gas"
"C2",1991,28163.46,"Gas"
"C2",1992,25653.42,"Gas"
"C2",1993,26967.72,"Gas"
"C2",1994,31395.78,"Gas"
"C2",1995,33680.4,"Gas"
"C2",1996,37454.04,"Gas"
"C2",1997,38787.84,"Gas"
"C2",1998,41987.4,"Gas"
"C2",1999,42949.14,"Gas"
"C2",2000,40946.1,"Gas"
"C2",2001,45575.4,"Gas"
"C2",2002,42518.58,"Gas"
"C2",2003,49921.56,"Gas"
"C2",2004,50054.16,"Gas"
"C2",2005,57688.8,"Gas"
"C2",2006,59872.02,"Gas"
"C2",2007,62082.54,"Gas"
"C2",2008,70420.74,"Gas"
"C2",2009,64052.04,"Gas"
"C2",2010,70474.56,"Gas"
"C2",2011,68038.62,"Gas"
"C2",2012,60530.34,"Gas"
"C2",2013,53614.86,"Gas"
"C2",2014,48571.38,"Gas"
"C2",2015,49153.26,"Gas"
"C2",2016,64189.32,"Gas"
"C2",2017,68394.3,"Gas"
"C2",2018,65071.5,"Gas"
"C2",2019,73679.58,"Gas"
"C1",1960,0,"Gas"
"C1",1961,0,"Gas"
"C1",1962,0,"Gas"
"C1",1963,0,"Gas"
"C1",1964,0,"Gas"
"C1",1965,0,"Gas"
"C1",1966,0,"Gas"
"C1",1967,0,"Gas"
"C1",1968,0,"Gas"
"C1",1969,0,"Gas"
"C1",1970,0,"Gas"
"C1",1971,0,"Gas"
"C1",1972,0,"Gas"
"C1",1973,0,"Gas"
"C1",1974,0,"Gas"
"C1",1975,0,"Gas"
"C1",1976,0,"Gas"
"C1",1977,0,"Gas"
"C1",1978,0,"Gas"
"C1",1979,0,"Gas"
"C1",1980,0,"Gas"
"C1",1981,0,"Gas"
"C1",1982,0,"Gas"
"C1",1983,0,"Gas"
"C1",1984,0,"Gas"
"C1",1985,391.02,"Gas"
"C1",1986,740.81,"Gas"
"C1",1987,486.78,"Gas"
"C1",1988,851.2,"Gas"
"C1",1989,920.36,"Gas"
"C1",1990,923.02,"Gas"
"C1",1991,1102.57,"Gas"
"C1",1992,1437.73,"Gas"
"C1",1993,2113.37,"Gas"
"C1",1994,3032.4,"Gas"
"C1",1995,4834.55,"Gas"
"C1",1996,7553.07,"Gas"
"C1",1997,9017.4,"Gas"
"C1",1998,10810.24,"Gas"
"C1",1999,12044.48,"Gas"
"C1",2000,11669.42,"Gas"
"C1",2001,12333.09,"Gas"
"C1",2002,12754.7,"Gas"
"C1",2003,12986.12,"Gas"
"C1",2004,13221.53,"Gas"
"C1",2005,11677.4,"Gas"
"C1",2006,12503.33,"Gas"
"C1",2007,9359.21,"Gas"
"C1",2008,9419.06,"Gas"
"C1",2009,8872.43,"Gas"
"C1",2010,10514.98,"Gas"
"C1",2011,7768.53,"Gas"
"C1",2012,5575.36,"Gas"
"C1",2013,4544.61,"Gas"
"C1",2014,2787.35415,"Gas"
"C1",2015,2426.30304,"Gas"
"C1",2016,2998.98641,"Gas"
"C1",2017,2682.95048,"Gas"
"C1",2018,2755.64695,"Gas"
"C1",2019,2463.30763,"Gas"
"C2",1960,9386.52,"Hydro"
"C2",1961,9299.16,"Hydro"
"C2",1962,8896.68,"Hydro"
"C2",1963,8731.32,"Hydro"
"C2",1964,8639.28,"Hydro"
"C2",1965,11125.14,"Hydro"
"C2",1966,12328.68,"Hydro"
"C2",1967,11942.58,"Hydro"
"C2",1968,12183.6,"Hydro"
"C2",1969,10228.92,"Hydro"
"C2",1970,13671.06,"Hydro"
"C2",1971,10494.9,"Hydro"
"C2",1972,10295.22,"Hydro"
"C2",1973,11881.74,"Hydro"
"C2",1974,13759.2,"Hydro"
"C2",1975,13301.34,"Hydro"
"C2",1976,10801.44,"Hydro"
"C2",1977,13706.94,"Hydro"
"C2",1978,14319.24,"Hydro"
"C2",1979,14334.06,"Hydro"
"C2",1980,14873.82,"Hydro"
"C2",1981,15525.9,"Hydro"
"C2",1982,15394.86,"Hydro"
"C2",1983,14588.34,"Hydro"
"C2",1984,14409.72,"Hydro"
"C2",1985,13549.38,"Hydro"
"C2",1986,14481.48,"Hydro"
"C2",1987,15862.08,"Hydro"
"C2",1988,15650.7,"Hydro"
"C2",1989,14210.82,"Hydro"
"C2",1990,13592.28,"Hydro"
"C2",1991,11614.98,"Hydro"
"C2",1992,13569.66,"Hydro"
"C2",1993,13944.84,"Hydro"
"C2",1994,15545.4,"Hydro"
"C2",1995,16988.4,"Hydro"
"C2",1996,17126.46,"Hydro"
"C2",1997,13538.46,"Hydro"
"C2",1998,13428.48,"Hydro"
"C2",1999,15324.66,"Hydro"
"C2",2000,16950.96,"Hydro"
"C2",2001,17731.74,"Hydro"
"C2",2002,18036.72,"Hydro"
"C2",2003,14290.38,"Hydro"
"C2",2004,16181.88,"Hydro"
"C2",2005,15317.64,"Hydro"
"C2",2006,15624.18,"Hydro"
"C2",2007,16511.82,"Hydro"
"C2",2008,15945.54,"Hydro"
"C2",2009,14843.4,"Hydro"
"C2",2010,16343.34,"Hydro"
"C2",2011,13784.16,"Hydro"
"C2",2012,16969.68,"Hydro"
"C2",2013,17938.44,"Hydro"
"C2",2014,15277.86,"Hydro"
"C2",2015,14802.06,"Hydro"
"C2",2016,16025.88,"Hydro"
"C2",2017,15717,"Hydro"
"C2",2018,14019.72,"Hydro"
"C2",2019,15647.58,"Hydro"
"C1",1960,33.25,"Hydro"
"C1",1961,34.58,"Hydro"
"C1",1962,34.58,"Hydro"
"C1",1963,33.25,"Hydro"
"C1",1964,33.25,"Hydro"
"C1",1965,33.25,"Hydro"
"C1",1966,34.58,"Hydro"
"C1",1967,33.25,"Hydro"
"C1",1968,27.93,"Hydro"
"C1",1969,29.26,"Hydro"
"C1",1970,31.92,"Hydro"
"C1",1971,31.92,"Hydro"
"C1",1972,31.92,"Hydro"
"C1",1973,31.92,"Hydro"
"C1",1974,31.92,"Hydro"
"C1",1975,31.92,"Hydro"
"C1",1976,31.92,"Hydro"
"C1",1977,29.26,"Hydro"
"C1",1978,30.59,"Hydro"
"C1",1979,33.25,"Hydro"
"C1",1980,39.9,"Hydro"
"C1",1981,43.89,"Hydro"
"C1",1982,41.23,"Hydro"
"C1",1983,45.22,"Hydro"
"C1",1984,39.9,"Hydro"
"C1",1985,39.9,"Hydro"
"C1",1986,38.57,"Hydro"
"C1",1987,38.57,"Hydro"
"C1",1988,43.89,"Hydro"
"C1",1989,30.59,"Hydro"
"C1",1990,37.24,"Hydro"
"C1",1991,33.25,"Hydro"
"C1",1992,37.24,"Hydro"
"C1",1993,37.24,"Hydro"
"C1",1994,43.89,"Hydro"
"C1",1995,39.9,"Hydro"
"C1",1996,25.27,"Hydro"
"C1",1997,25.27,"Hydro"
"C1",1998,35.91,"Hydro"
"C1",1999,41.23,"Hydro"
"C1",2000,39.9,"Hydro"
"C1",2001,37.24,"Hydro"
"C1",2002,42.56,"Hydro"
"C1",2003,27.93,"Hydro"
"C1",2004,35.91,"Hydro"
"C1",2005,30.59,"Hydro"
"C1",2006,30.59,"Hydro"
"C1",2007,37.24,"Hydro"
"C1",2008,34.58,"Hydro"
"C1",2009,25.27,"Hydro"
"C1",2010,27.93,"Hydro"
"C1",2011,22.61,"Hydro"
"C1",2012,22.61,"Hydro"
"C1",2013,17.29,"Hydro"
"C1",2014,19.95,"Hydro"
"C1",2015,23.9799,"Hydro"
"C1",2016,25.63176,"Hydro"
"C1",2017,23.76843,"Hydro"
"C1",2018,19.76646,"Hydro"
"C1",2019,21.51408,"Hydro"
"C2",1960,3248.115,"Netimports"
"C2",1961,3372.11323255814,"Netimports"
"C2",1962,2384.031,"Netimports"
"C2",1963,1923.13353488372,"Netimports"
"C2",1964,748.664860465116,"Netimports"
"C2",1965,3307.38411627907,"Netimports"
"C2",1966,5852.84609302326,"Netimports"
"C2",1967,5644.62418604651,"Netimports"
"C2",1968,5509.70867441861,"Netimports"
"C2",1969,4768.842,"Netimports"
"C2",1970,6357.41539534884,"Netimports"
"C2",1971,5484.75230232558,"Netimports"
"C2",1972,9987.66237209302,"Netimports"
"C2",1973,9016.73651162791,"Netimports"
"C2",1974,5476.95411627907,"Netimports"
"C2",1975,6535.22365116279,"Netimports"
"C2",1976,988.862232558139,"Netimports"
"C2",1977,5015.27755813954,"Netimports"
"C2",1978,2982.96306976744,"Netimports"
"C2",1979,1491.87153488372,"Netimports"
"C2",1980,5573.65688372093,"Netimports"
"C2",1981,7437.52039534884,"Netimports"
"C2",1982,6132.81620930233,"Netimports"
"C2",1983,9163.35020930233,"Netimports"
"C2",1984,3301.14593023256,"Netimports"
"C2",1985,1975.38446511628,"Netimports"
"C2",1986,4753.24472093023,"Netimports"
"C2",1987,5781.87879069767,"Netimports"
"C2",1988,1468.47606976744,"Netimports"
"C2",1989,687.056651162789,"Netimports"
"C2",1990,725.270302325583,"Netimports"
"C2",1991,-448.419279069768,"Netimports"
"C2",1992,-4148.85265116279,"Netimports"
"C2",1993,678.477558139536,"Netimports"
"C2",1994,1822.5316744186,"Netimports"
"C2",1995,3762.04248837209,"Netimports"
"C2",1996,-4106.74081395349,"Netimports"
"C2",1997,-1831.88986046512,"Netimports"
"C2",1998,-497.550209302329,"Netimports"
"C2",1999,811.053976744188,"Netimports"
"C2",2000,2384.031,"Netimports"
"C2",2001,2851.94665116279,"Netimports"
"C2",2002,7797.03690697674,"Netimports"
"C2",2003,-2549.36106976745,"Netimports"
"C2",2004,-2044.01176744187,"Netimports"
"C2",2005,-3560.83876744186,"Netimports"
"C2",2006,-13239.677372093,"Netimports"
"C2",2007,-12910.5763255814,"Netimports"
"C2",2008,-15675.1783953488,"Netimports"
"C2",2009,-9571.21765116279,"Netimports"
"C2",2010,-11662.8003488372,"Netimports"
"C2",2011,-2936.17123255814,"Netimports"
"C2",2012,-16019.8767209302,"Netimports"
"C2",2013,-25106.0205348837,"Netimports"
"C2",2014,-26425.5429069767,"Netimports"
"C2",2015,-37653.1821627907,"Netimports"
"C2",2016,-39402.4074418605,"Netimports"
"C2",2017,-40910.656255814,"Netimports"
"C2",2018,-38007.2386744186,"Netimports"
"C2",2019,-25477.2343255814,"Netimports"
"C1",1960,138.295255813954,"Netimports"
"C1",1961,1174.1796744186,"Netimports"
"C1",1962,1190.13503488372,"Netimports"
"C1",1963,574.45638372093,"Netimports"
"C1",1964,1089.07359302326,"Netimports"
"C1",1965,2308.46398837209,"Netimports"
"C1",1966,812.483081395349,"Netimports"
"C1",1967,1715.39224418605,"Netimports"
"C1",1968,-348.398139534884,"Netimports"
"C1",1969,-4418.79354651163,"Netimports"
"C1",1970,-5577.01631395349,"Netimports"
"C1",1971,-2606.33140697674,"Netimports"
"C1",1972,-3015.8971744186,"Netimports"
